As a disciplined NBA betting analyst, I have reviewed the AI's predictions against the actual game results for 2026-06-01.

Here's the breakdown:

1.  **Golden State Warriors vs Sacramento Kings Over 232.0 @ 1.99 - Confidence: High, Units: 1.5u**
    *   Actual Result: Golden State Warriors 118 @ Sacramento Kings 115
    *   Outcome: **WIN** (Total points 233 is over 232.0)

2.  **Boston Celtics vs Milwaukee Bucks Under 220.5 @ 1.92 - Confidence: Medium, Units: 1.0u**
    *   Actual Result: Boston Celtics 105 @ Milwaukee Bucks 108
    *   Outcome: **WIN** (Total points 213 is under 220.5)

3.  **Phoenix Suns vs Los Angeles Lakers Los Angeles Lakers -3.0 @ 1.95 - Confidence: High, Units: 1.5u**
    *   Actual Result: Phoenix Suns 112 @ Los Angeles Lakers 116
    *   Outcome: **WIN** (Lakers won by 4 points, covering the -3.0 spread)

4.  **Denver Nuggets vs Utah Jazz Denver Nuggets Moneyline @ 1.70 - Confidence: Medium, Units: 1.0u**
    *   Actual Result: Denver Nuggets 102 @ Utah Jazz 98
    *   Outcome: **WIN** (Denver Nuggets won the game)

5.  **Philadelphia 76ers vs Miami Heat Over 215.5 @ 1.90 - Confidence: Low, Units: 0.5u**
    *   Actual Result: Philadelphia 76ers 100 @ Miami Heat 102
    *   Outcome: **LOSS** (Total points 202 is under 215.5)

---

**Summary of AI Prediction Performance:**

*   **Total Wins: 4**
*   **Total Losses: 1**
*   **Total Pushes: 0**
